,Date,Close,Open,High,Low
1778,2018-02-17,11073.5,10177.3,11095.9,10070.9
1779,2018-02-16,10178.7,10031.3,10294.3,9707.7
1780,2018-02-15,10037.3,9475.6,10206.8,9348.5
1781,2018-02-14,9476.3,8542.6,9500.0,8541.6
1782,2018-02-13,8539.2,8906.2,8942.7,8378.0
1783,2018-02-12,8903.5,8083.6,8984.9,8083.6
1784,2018-02-11,8081.9,8559.7,8564.2,7843.7
1785,2018-02-10,8559.6,8697.3,9066.6,8172.2
1786,2018-02-09,8699.8,8163.6,8735.6,7784.6
1787,2018-02-08,8164.2,7595.1,8489.9,7595.1
1788,2018-02-07,7594.7,7693.8,8536.5,7196.6
1789,2018-02-06,7701.2,6939.3,7896.2,5996.6
1790,2018-02-05,6938.5,8220.8,8383.2,6651.9
1791,2018-02-04,8222.2,9241.5,9382.1,7932.1
1792,2018-02-03,9241.1,8894.4,9506.9,8249.3
1793,2018-02-02,8893.2,9179.8,9201.4,7915.8
1794,2018-02-01,9181.1,10266.2,10303.0,8789.2
1795,2018-01-31,10265.4,10166.3,10397.7,9742.2
1796,2018-01-30,10166.0,11244.5,11277.2,9917.7
1797,2018-01-29,11244.8,11794.9,11888.1,11119.0
1798,2018-01-28,11795.1,11471.2,12112.7,11433.3
1799,2018-01-27,11467.5,11118.0,11621.7,10908.4
1800,2018-01-26,11118.1,11203.1,11655.3,10389.4
1801,2018-01-25,11203.0,11439.9,11740.9,10983.8
1802,2018-01-24,11452.3,10899.4,11549.5,10584.5
1803,2018-01-23,10903.2,10869.0,11438.0,10056.6
1804,2018-01-22,10864.8,11597.5,11970.9,10136.8
1805,2018-01-21,11594.9,12857.1,12860.2,11164.5
1806,2018-01-20,12858.9,11579.2,13082.2,11567.3
1807,2018-01-19,11580.2,11229.6,11973.2,10901.5
1808,2018-01-18,11245.4,11202.0,12004.7,10660.2
1809,2018-01-17,11192.3,11357.7,11769.6,9271.3
1810,2018-01-16,11362.0,13704.4,13711.0,10050.7
1811,2018-01-15,13697.5,13695.5,14396.6,13475.4
1812,2018-01-14,13695.2,14291.9,14446.1,13094.7
1813,2018-01-13,14292.2,13896.0,14640.7,13888.2
1814,2018-01-12,13886.7,13529.2,14176.4,13410.0
1815,2018-01-11,13535.4,15046.7,15109.1,13048.3
1816,2018-01-10,15043.0,14778.5,15045.4,13613.1
1817,2018-01-09,14778.5,14976.2,15324.6,14613.4
1818,2018-01-08,14976.2,16228.3,16302.9,13902.3
1819,2018-01-07,16228.2,17174.5,17184.8,15791.1
1820,2018-01-06,17172.3,16954.8,17252.8,16286.6
1821,2018-01-05,16954.8,15180.1,17126.9,14832.4
1822,2018-01-04,15180.1,15156.5,15408.7,14244.7
1823,2018-01-03,15156.6,14754.1,15435.0,14579.7
1824,2018-01-02,14754.1,13444.9,15306.1,12934.2
1825,2018-01-01,13444.9,13850.5,13921.5,12877.7
1826,2017-12-31,13850.4,12532.4,14241.8,12359.4
1827,2017-12-30,12531.5,14392.1,14461.5,11962.1
1828,2017-12-29,14392.6,14398.5,15109.8,13951.1
1829,2017-12-28,14398.7,15416.3,15505.5,13466.1
1830,2017-12-27,15416.6,15757.0,16514.6,14534.7
1831,2017-12-26,15756.6,13830.2,16094.7,13748.5
1832,2017-12-25,13833.5,13790.0,14467.4,13010.7
1833,2017-12-24,13790.0,14396.6,14413.7,12166.5
1834,2017-12-23,14396.5,13665.0,15493.2,13356.1
1835,2017-12-22,13665.0,15632.1,15823.7,10875.7
1836,2017-12-21,15632.1,16461.1,17301.8,14953.0
1837,2017-12-20,16462.0,17521.7,17813.6,15642.7
1838,2017-12-19,17523.7,18971.2,19022.0,16812.8
1839,2017-12-18,18972.3,19065.7,19221.1,18114.4
1840,2017-12-17,19065.7,19346.6,19870.6,18750.9
1841,2017-12-16,19345.5,17594.1,19587.7,17318.5
1842,2017-12-15,17604.8,16467.9,17987.0,16442.2
1843,2017-12-14,16467.9,16286.8,16941.1,16023.6
1844,2017-12-13,16286.8,17083.9,17268.0,15669.9
1845,2017-12-12,17083.9,16733.3,17560.7,16254.5
1846,2017-12-11,16732.5,15060.5,17399.2,15024.6
1847,2017-12-10,15059.6,14840.0,15783.2,13031.0
1848,2017-12-09,14843.4,16048.2,16313.2,13151.5
1849,2017-12-08,16047.6,16868.0,17294.8,13906.1
1850,2017-12-07,16850.3,13750.1,16879.3,13401.6
1851,2017-12-06,13749.6,11667.1,13843.2,11661.8
1852,2017-12-05,11667.1,11624.4,11901.9,11486.1
1853,2017-12-04,11623.9,11244.2,11624.6,10917.8
1854,2017-12-03,11246.2,10912.7,11851.1,10578.4
1855,2017-12-02,10912.7,10861.5,11175.2,10715.5
1856,2017-12-01,10861.5,9947.1,10942.8,9420.9
1857,2017-11-30,9946.8,9848.0,10689.1,9023.8
1858,2017-11-29,9837.9,9906.0,11417.8,8938.7
1859,2017-11-28,9906.0,9732.6,9969.6,9638.2
1860,2017-11-27,9733.2,9318.4,9733.6,9316.8
1861,2017-11-26,9318.4,8754.6,9474.6,8746.6
1862,2017-11-25,8754.7,8203.5,8762.0,8153.7
1863,2017-11-24,8200.8,8013.4,8332.9,7900.2
1864,2017-11-23,8013.4,8234.5,8266.5,8012.4
1865,2017-11-22,8234.5,8099.9,8304.4,8091.6
1866,2017-11-21,8100.0,8245.9,8368.4,7819.1
1867,2017-11-20,8244.7,8042.6,8294.1,7947.3
1868,2017-11-19,8042.6,7781.0,8100.9,7675.4
1869,2017-11-18,7780.9,7700.0,7857.5,7458.9
1870,2017-11-17,7700.0,7853.7,8000.2,7534.7
1871,2017-11-16,7853.7,7283.0,7964.6,7119.2
1872,2017-11-15,7283.2,6597.1,7330.1,6596.9
1873,2017-11-14,6597.1,6522.5,6728.6,6419.2
1874,2017-11-13,6522.5,5878.1,6760.1,5828.3
1875,2017-11-12,5878.1,6339.9,6490.5,5493.6
1876,2017-11-11,6339.9,6565.8,6821.5,6197.9
1877,2017-11-10,6565.8,7129.6,7319.0,6406.0
1878,2017-11-09,7129.6,7444.4,7457.1,7040.8
1879,2017-11-08,7444.4,7102.2,7869.1,7027.0
1880,2017-11-07,7102.8,6959.3,7222.4,6957.8
1881,2017-11-06,6959.2,7389.5,7429.7,6934.7
1882,2017-11-05,7389.5,7363.8,7599.4,7284.3
1883,2017-11-04,7363.8,7147.0,7492.2,6957.8
1884,2017-11-03,7152.1,7024.8,7445.6,6938.9
1885,2017-11-02,7024.8,6737.8,7339.9,6737.8
1886,2017-11-01,6737.8,6449.1,6738.7,6355.0
1887,2017-10-31,6451.2,6124.3,6467.2,6090.8
1888,2017-10-30,6124.3,6147.7,6226.2,6019.0
1889,2017-10-29,6147.5,5726.6,6295.4,5679.4
